group,name,split,seed,balanced_acc,auc,sensitivity,specificity,f1,acc,error,outdir
method,erm,indist,1,0.9249194847020934,0.9619565217391305,0.9259259259259259,0.9239130434782609,0.847457627118644,0.9243697478991597,,experiments/method-erm-indist-s1-20260715-213432
method,erm,indist,2,0.9357890499194848,0.9786634460547503,0.9259259259259259,0.9456521739130435,0.8771929824561403,0.9411764705882353,,experiments/method-erm-indist-s2-20260715-214123
method,erm,0,1,0.6288583863408101,0.8187479075995983,0.296551724137931,0.9611650485436893,0.43,0.748898678414097,,experiments/method-erm-0-s1-20260715-214912
method,erm,0,2,0.7342149313692669,0.8447941078004687,0.5655172413793104,0.9029126213592233,0.6381322957198443,0.7951541850220264,,experiments/method-erm-0-s2-20260715-215422
method,erm,1,1,0.8092948717948718,0.9382122507122507,0.6666666666666666,0.9519230769230769,0.6545454545454545,0.9191489361702128,,experiments/method-erm-1-s1-20260715-220011
method,erm,1,2,0.8617343304843305,0.92752849002849,0.8148148148148148,0.9086538461538461,0.6470588235294118,0.8978723404255319,,experiments/method-erm-1-s2-20260715-221058
method,erm,2,1,0.9285714285714286,1.0,0.8571428571428571,1.0,0.9230769230769231,0.9436619718309859,,experiments/method-erm-2-s1-20260715-221633
method,erm,2,2,0.9821428571428572,0.9991694352159468,0.9642857142857143,1.0,0.9818181818181818,0.9859154929577465,,experiments/method-erm-2-s2-20260715-222521
method,irm,indist,1,0.8836553945249597,0.961352657004831,0.9629629629629629,0.8043478260869565,0.7323943661971831,0.8403361344537815,,experiments/method-irm-indist-s1-20260715-223337
method,irm,indist,2,0.8542673107890499,0.9581320450885669,0.9259259259259259,0.782608695652174,0.6944444444444444,0.8151260504201681,,experiments/method-irm-indist-s2-20260715-225952
method,irm,0,1,0.7330989844883384,0.8398839415243834,0.6344827586206897,0.8317152103559871,0.6366782006920415,0.7687224669603524,,experiments/method-irm-0-s1-20260715-232411
method,irm,0,2,0.7318268050440799,0.8509541345831939,0.593103448275862,0.8705501618122977,0.6346863468634686,0.7819383259911894,,experiments/method-irm-0-s2-20260715-233310
method,irm,1,1,0.811698717948718,0.9155982905982906,0.6666666666666666,0.9567307692307693,0.6666666666666666,0.9234042553191489,,experiments/method-irm-1-s1-20260715-234918
method,irm,1,2,0.6779736467236468,0.9214743589743589,0.37037037037037035,0.9855769230769231,0.5,0.9148936170212766,,experiments/method-irm-1-s2-20260716-001214
method,irm,2,1,0.9642857142857143,1.0,0.9285714285714286,1.0,0.9629629629629629,0.971830985915493,,experiments/method-irm-2-s1-20260716-003440
method,irm,2,2,0.9588870431893688,0.9958471760797343,0.9642857142857143,0.9534883720930233,0.9473684210526315,0.9577464788732394,,experiments/method-irm-2-s2-20260716-005105
method,groupdro,indist,1,0.9412238325281803,0.9665861513687599,0.9259259259259259,0.9565217391304348,0.8928571428571429,0.9495798319327731,,experiments/method-groupdro-indist-s1-20260716-011943
method,groupdro,indist,2,0.9064009661835748,0.9603462157809984,0.8888888888888888,0.9239130434782609,0.8275862068965517,0.9159663865546218,,experiments/method-groupdro-indist-s2-20260716-012940
method,groupdro,0,1,0.7212699475504967,0.8278093962727374,0.5655172413793104,0.8770226537216829,0.6188679245283019,0.7775330396475771,,experiments/method-groupdro-0-s1-20260716-014009
method,groupdro,0,2,0.7612431648253544,0.8637428858386341,0.6551724137931034,0.8673139158576052,0.6761565836298933,0.7995594713656388,,experiments/method-groupdro-0-s2-20260716-014505
method,groupdro,1,1,0.8020833333333333,0.934116809116809,0.6666666666666666,0.9375,0.6206896551724138,0.9063829787234042,,experiments/method-groupdro-1-s1-20260716-014920
method,groupdro,1,2,0.8648504273504274,0.9417735042735043,0.7777777777777778,0.9519230769230769,0.7241379310344828,0.9319148936170213,,experiments/method-groupdro-1-s2-20260716-015846
method,groupdro,2,1,0.9464285714285714,1.0,0.8928571428571429,1.0,0.9433962264150944,0.9577464788732394,,experiments/method-groupdro-2-s1-20260716-020833
method,groupdro,2,2,0.9642857142857143,0.9966777408637875,0.9285714285714286,1.0,0.9629629629629629,0.971830985915493,,experiments/method-groupdro-2-s2-20260716-021601
method,ours,indist,1,0.9619565217391304,0.9770531400966184,1.0,0.9239130434782609,0.8852459016393442,0.9411764705882353,,experiments/method-ours-indist-s1-20260716-022837
method,ours,indist,2,0.9357890499194848,0.9730273752012882,0.9259259259259259,0.9456521739130435,0.8771929824561403,0.9411764705882353,,experiments/method-ours-indist-s2-20260716-023635
method,ours,0,1,0.6706617565003905,0.848566008258007,0.3931034482758621,0.948220064724919,0.5229357798165137,0.7709251101321586,,experiments/method-ours-0-s1-20260716-024949
method,ours,0,2,0.7553286463564335,0.8518468920879366,0.6206896551724138,0.889967637540453,0.6691449814126395,0.8039647577092511,,experiments/method-ours-0-s2-20260716-025502
method,ours,1,1,0.8051994301994302,0.9227207977207976,0.6296296296296297,0.9807692307692307,0.7083333333333334,0.9404255319148936,,experiments/method-ours-1-s1-20260716-025850
method,ours,1,2,0.891559829059829,0.9478276353276354,0.8888888888888888,0.8942307692307693,0.6575342465753424,0.8936170212765957,,experiments/method-ours-1-s2-20260716-030413
method,ours,2,1,0.941029900332226,0.9933554817275748,0.9285714285714286,0.9534883720930233,0.9285714285714286,0.9436619718309859,,experiments/method-ours-2-s1-20260716-030936
method,ours,2,2,0.8633720930232558,0.9534883720930233,0.75,0.9767441860465116,0.84,0.8873239436619719,,experiments/method-ours-2-s2-20260716-031656
method,ours_bg,indist,1,0.9096215780998389,0.9794685990338164,0.8518518518518519,0.967391304347826,0.8679245283018868,0.9411764705882353,,experiments/method-ours_bg-indist-s1-20260716-032229
method,ours_bg,indist,2,0.9357890499194848,0.9649758454106281,0.9259259259259259,0.9456521739130435,0.8771929824561403,0.9411764705882353,,experiments/method-ours_bg-indist-s2-20260716-033233
method,ours_bg,0,1,0.7673920321392702,0.8388349514563108,0.8551724137931035,0.6796116504854369,0.6739130434782609,0.73568281938326,,experiments/method-ours_bg-0-s1-20260716-034653
method,ours_bg,0,2,0.6988840531190715,0.8330543466131013,0.4689655172413793,0.9288025889967637,0.5787234042553191,0.7819383259911894,,experiments/method-ours_bg-0-s2-20260716-035100
method,ours_bg,1,1,0.8617343304843305,0.934116809116809,0.8148148148148148,0.9086538461538461,0.6470588235294118,0.8978723404255319,,experiments/method-ours_bg-1-s1-20260716-035526
method,ours_bg,1,2,0.7657585470085471,0.9453347578347578,0.5555555555555556,0.9759615384615384,0.6382978723404256,0.9276595744680851,,experiments/method-ours_bg-1-s2-20260716-040606
method,ours_bg,2,1,0.9285714285714286,0.9842192691029901,0.8571428571428571,1.0,0.9230769230769231,0.9436619718309859,,experiments/method-ours_bg-2-s1-20260716-041444
method,ours_bg,2,2,0.8928571428571428,0.9950166112956811,0.7857142857142857,1.0,0.88,0.9154929577464789,,experiments/method-ours_bg-2-s2-20260716-042225
