method,split,mean,std,min,max,n,ci95_halfwidth
erm,0,0.74685488970725,0.006831293540747863,0.7392255328646357,0.7524048655284008,3,0.007730336362741696
erm,1,0.8166844729344729,0.023821998109985646,0.7931801994301995,0.8408119658119658,3,0.026957128562012538
erm,2,0.980343300110742,0.018127127945593444,0.9642857142857143,1.0,3,0.0205127763100854
erm,indist,0.9202227589908749,0.008843711528039182,0.914049919484702,0.9303542673107891,3,0.010007601693443684
groupdro,0,0.7463787523713871,0.017903993148761458,0.7298627385336458,0.7654056466912176,3,0.02026027551745302
groupdro,1,0.8538698955365621,0.04147994195267526,0.8237179487179487,0.9011752136752136,3,0.046938973078600336
groupdro,2,0.9743909191583611,0.01342675044627039,0.9588870431893688,0.9821428571428572,3,0.01519379844961243
groupdro,indist,0.9161969940955448,0.017816378716228053,0.9009661835748792,0.9357890499194848,3,0.02016113045368523
irm,0,0.7479336383588141,0.02275104893196707,0.7225421269947551,0.7664657962280995,3,0.025745235481426373
irm,1,0.7913402184235517,0.02844245902563605,0.7585470085470085,0.8092948717948718,3,0.032185672294737115
irm,2,0.9511351052048727,0.02685350089254078,0.9356312292358804,0.9821428571428572,3,0.03038759689922486
irm,indist,0.9180085882984433,0.015406551936668105,0.9086151368760065,0.9357890499194848,3,0.01743415473952179
ours,0,0.755708068295949,0.012670258610474983,0.7432317821671688,0.768563776364245,3,0.014337747350141416
ours,1,0.8578169515669515,0.02760100745986294,0.8263888888888888,0.8781160968660968,3,0.031233480210239205
ours,2,0.9371539313399778,0.02603503763082998,0.912375415282392,0.9642857142857143,3,0.02946141852966258
ours,indist,0.9147208803005905,0.025996852817958414,0.8856682769726247,0.9357890499194848,3,0.02941820834616149
ours_bg,0,0.7661756500390582,0.015346326875103667,0.7509764535208124,0.7816649927463453,3,0.01736600366672966
ours_bg,1,0.8563627730294397,0.021001270658153326,0.8408119658119658,0.880252849002849,3,0.023765174964905662
ours_bg,2,0.9395071982281284,0.02901731543819885,0.9061461794019934,0.9588870431893688,3,0.032836183563632604
ours_bg,indist,0.913311862587225,0.03103518356470795,0.8814412238325282,0.9434380032206119,3,0.03511961630744983
